,best_epoch,best_test_loss,datasetname,model,n_normflows,percent,test_error_rate,test_measures
202,299.0,2.11681684476,concrete,planarflowdet,8,0.25,14.7038345337,best_val_loss
203,384.0,2.68947890198,concrete,planarflowdet,20,0.25,234.376220703,best_val_loss
204,198.0,1.4906608063,concrete,planarflowdet,1,0.5,6.96100616455,best_val_loss
205,237.0,1.31676172053,concrete,planarflowdet,2,0.5,10.4960842133,best_val_loss
206,371.0,1.58624830524,concrete,planarflowdet,3,0.5,16.5613059998,best_val_loss
207,214.0,8.58494641943,concrete,planarflowdet,4,0.5,14.2220630646,best_val_loss
208,216.0,2.69065856934,concrete,planarflowdet,8,0.5,25.5217018127,best_val_loss
209,345.0,2.41265824698,concrete,planarflowdet,20,0.5,1011.65496826,best_val_loss
210,496.0,3.93041569978,concrete,planarflowdet,1,1.0,8.31240940094,best_val_loss
211,193.0,1.90405062333,concrete,planarflowdet,2,1.0,6.79616308212,best_val_loss
212,197.0,1.37410602755,concrete,planarflowdet,3,1.0,15.9259967804,best_val_loss
213,185.0,2.43345656904,concrete,planarflowdet,4,1.0,8.55753993988,best_val_loss
214,160.0,29.4849423899,concrete,planarflowdet,8,1.0,49.1348190308,best_val_loss
215,253.0,2.96257056079,concrete,planarflowdet,20,1.0,11.0068941116,best_val_loss
216,193.0,2.18507829685,concrete,baselinedetplus,1,0.25,30.3589763641,best_val_loss
217,14.0,2.67986467973,concrete,baselinedetplus,2,0.25,49.9357528687,best_val_loss
218,111.0,2.72813993287,concrete,baselinedetplus,3,0.25,58.6560821533,best_val_loss
219,211.0,2.75498503157,concrete,baselinedetplus,4,0.25,56.8667411804,best_val_loss
220,163.0,3.94171201836,concrete,baselinedetplus,8,0.25,69.8662948608,best_val_loss
221,99.0,3.56731022214,concrete,baselinedetplus,20,0.25,116.016914368,best_val_loss
222,104.0,1.96500863381,concrete,baselinedetplus,1,0.5,29.973072052,best_val_loss
223,15.0,2.05046363016,concrete,baselinedetplus,2,0.5,31.2514209747,best_val_loss
224,108.0,2.64061670396,concrete,baselinedetplus,3,0.5,55.4049987793,best_val_loss
225,54.0,2.69943859508,concrete,baselinedetplus,4,0.5,61.0597114563,best_val_loss
226,33.0,2.86406581842,concrete,baselinedetplus,8,0.5,62.4026985168,best_val_loss
227,56.0,3.69834796202,concrete,baselinedetplus,20,0.5,130.789123535,best_val_loss
228,99.0,1.58680028823,concrete,baselinedetplus,1,1.0,20.5813903809,best_val_loss
229,86.0,1.8388695578,concrete,baselinedetplus,2,1.0,24.3830776215,best_val_loss
230,19.0,2.7140748848,concrete,baselinedetplus,3,1.0,37.7708778381,best_val_loss
231,13.0,2.21706768147,concrete,baselinedetplus,4,1.0,32.1676139832,best_val_loss
232,51.0,2.65638540323,concrete,baselinedetplus,8,1.0,51.8035697937,best_val_loss
233,44.0,3.02017685974,concrete,baselinedetplus,20,1.0,87.4110412598,best_val_loss
234,192.0,1.39560521691,concrete,radialflowdet,1,0.25,8.25605201721,best_val_loss
235,228.0,24.3703068113,concrete,radialflowdet,2,0.25,10.7867507935,best_val_loss
236,383.0,1.7253724626,concrete,radialflowdet,3,0.25,8.16831874847,best_val_loss
237,371.0,3.43683527974,concrete,radialflowdet,4,0.25,8.31540870667,best_val_loss
238,318.0,2.08660266469,concrete,radialflowdet,8,0.25,8.70052146912,best_val_loss
239,0.0,inf,concrete,radialflowdet,20,0.25,inf,best_val_loss
240,169.0,2.02788832581,concrete,radialflowdet,1,0.5,6.9293847084,best_val_loss
241,245.0,0.668480845331,concrete,radialflowdet,2,0.5,6.47083234787,best_val_loss
242,237.0,0.800535553867,concrete,radialflowdet,3,0.5,6.77407407761,best_val_loss
243,659.0,2.42942291556,concrete,radialflowdet,4,0.5,6.84629917145,best_val_loss
244,209.0,2.62205564629,concrete,radialflowdet,8,0.5,7.05422639847,best_val_loss
245,0.0,inf,concrete,radialflowdet,20,0.5,inf,best_val_loss
246,507.0,2.63287309073,concrete,radialflowdet,1,1.0,6.5911693573,best_val_loss
247,409.0,1.66563363677,concrete,radialflowdet,2,1.0,5.94373416901,best_val_loss
248,153.0,0.833426836625,concrete,radialflowdet,3,1.0,6.45259428024,best_val_loss
249,211.0,1.16843473564,concrete,radialflowdet,4,1.0,5.89313983917,best_val_loss
250,146.0,31.8760311534,concrete,radialflowdet,8,1.0,6.70548057556,best_val_loss
251,0.0,inf,concrete,radialflowdet,20,1.0,inf,best_val_loss
252,279.0,2.47669523665,concrete,baselineplus,1,0.25,15.0267705917,best_val_loss
253,282.0,22.023446833,concrete,baselineplus,2,0.25,18.6931400299,best_val_loss
254,1153.0,2.4274943824,concrete,baselineplus,3,0.25,19.4105110168,best_val_loss
255,286.0,7.37219697526,concrete,baselineplus,4,0.25,18.5700359344,best_val_loss
256,690.0,6.28208908525,concrete,baselineplus,8,0.25,23.142490387,best_val_loss
257,374.0,11.9271883178,concrete,baselineplus,20,0.25,123.530822754,best_val_loss
258,182.0,3.81334130741,concrete,baselineplus,1,0.5,11.6275253296,best_val_loss
259,701.0,2.66697929901,concrete,baselineplus,2,0.5,12.5535516739,best_val_loss
260,377.0,4.46236441899,concrete,baselineplus,3,0.5,46.746547699,best_val_loss
261,741.0,10.0931688327,concrete,baselineplus,4,0.5,18.5148906708,best_val_loss
262,223.0,20.2650995347,concrete,baselineplus,8,0.5,14.3696708679,best_val_loss
263,609.0,8.8427989182,concrete,baselineplus,20,0.5,112.476127625,best_val_loss
264,594.0,7.46291284654,concrete,baselineplus,1,1.0,19.323551178,best_val_loss
265,443.0,4.44310397546,concrete,baselineplus,2,1.0,10.0788612366,best_val_loss
266,225.0,4.42274460283,concrete,baselineplus,3,1.0,38.2478027344,best_val_loss
267,189.0,9.88415868074,concrete,baselineplus,4,1.0,17.2461242676,best_val_loss
268,565.0,6.25759532151,concrete,baselineplus,8,1.0,42.9322547913,best_val_loss
269,219.0,16.6781722874,concrete,baselineplus,20,1.0,49.0569000244,best_val_loss
270,282.0,2.36668381182,concrete,planarflow,1,0.25,13.4364089966,best_val_loss
271,308.0,10.1203610318,concrete,planarflow,2,0.25,19.1914157867,best_val_loss
272,266.0,2.29781852648,concrete,planarflow,3,0.25,14.2477312088,best_val_loss
273,323.0,2.8999786377,concrete,planarflow,4,0.25,18.5856838226,best_val_loss
274,288.0,3.58797343726,concrete,planarflow,8,0.25,18.5894031525,best_val_loss
275,0.0,inf,concrete,planarflow,20,0.25,inf,best_val_loss
276,940.0,2.54612361575,concrete,planarflow,1,0.5,19.2165431976,best_val_loss
277,371.0,2.61285044846,concrete,planarflow,2,0.5,15.7458267212,best_val_loss
278,367.0,2.79106777154,concrete,planarflow,3,0.5,17.1006832123,best_val_loss
279,276.0,50.8124602975,concrete,planarflow,4,0.5,18.3732852936,best_val_loss
280,241.0,8.36980149352,concrete,planarflow,8,0.5,14.7246074677,best_val_loss
281,0.0,inf,concrete,planarflow,20,0.5,inf,best_val_loss
282,201.0,33.9124862523,concrete,planarflow,1,1.0,19.4867687225,best_val_loss
283,175.0,3.76046486271,concrete,planarflow,2,1.0,19.912399292,best_val_loss
284,218.0,2.64345454244,concrete,planarflow,3,1.0,17.1888332367,best_val_loss
285,135.0,4.52466768431,concrete,planarflow,4,1.0,7.40132665634,best_val_loss
286,697.0,6.57778812149,concrete,planarflow,8,1.0,10.0698299408,best_val_loss
287,0.0,inf,concrete,planarflow,20,1.0,inf,best_val_loss
288,423.0,1.26193192862,concrete,baselinedet,1,0.25,15.549530983,best_val_loss
289,104.0,1.68205127901,concrete,baselinedet,2,0.25,19.8761520386,best_val_loss
290,172.0,1.82205200195,concrete,baselinedet,3,0.25,19.2730064392,best_val_loss
291,40.0,1.39418237186,concrete,baselinedet,4,0.25,16.8946704865,best_val_loss
292,353.0,1.38805070896,concrete,baselinedet,8,0.25,16.6997661591,best_val_loss
293,171.0,1.7744487281,concrete,baselinedet,20,0.25,24.3375015259,best_val_loss
294,167.0,1.11342206048,concrete,baselinedet,1,0.5,12.4991178513,best_val_loss
295,167.0,0.95851675978,concrete,baselinedet,2,0.5,10.8065500259,best_val_loss
296,167.0,0.865858800203,concrete,baselinedet,3,0.5,10.1759614944,best_val_loss
297,206.0,1.02265759811,concrete,baselinedet,4,0.5,11.6690692902,best_val_loss
298,97.0,1.4655062481,concrete,baselinedet,8,0.5,16.5227184296,best_val_loss
299,171.0,1.1412720171,concrete,baselinedet,20,0.5,12.4558372498,best_val_loss
300,165.0,0.718357271361,concrete,baselinedet,1,1.0,8.60941505432,best_val_loss
301,187.0,0.672067882945,concrete,baselinedet,2,1.0,8.33781337738,best_val_loss
302,100.0,1.24008289819,concrete,baselinedet,3,1.0,14.7718105316,best_val_loss
303,401.0,0.607868861226,concrete,baselinedet,4,1.0,7.79184579849,best_val_loss
304,143.0,1.30953964678,concrete,baselinedet,8,1.0,9.89113330841,best_val_loss
305,335.0,0.405618612049,concrete,baselinedet,20,1.0,6.1308965683,best_val_loss
306,28.0,264.656805101,concrete,radialflow,1,0.25,110.871002197,best_val_loss
307,30.0,34472.4684737,concrete,radialflow,2,0.25,51.4576911926,best_val_loss
308,34.0,154.625240815,concrete,radialflow,3,0.25,95.5606307983,best_val_loss
309,19.0,911.189898572,concrete,radialflow,4,0.25,73.3711700439,best_val_loss
310,157.0,1.76565807434,concrete,radialflow,8,0.25,18.722120285,best_val_loss
311,0.0,inf,concrete,radialflow,20,0.25,inf,best_val_loss
312,8.0,388.721148248,concrete,radialflow,1,0.5,115.515670776,best_val_loss
313,8.0,19.5711929271,concrete,radialflow,2,0.5,79.7961273193,best_val_loss
314,93.0,3310.12287333,concrete,radialflow,3,0.5,39.0672798157,best_val_loss
315,20.0,15224.9231081,concrete,radialflow,4,0.5,158.132293701,best_val_loss
316,157.0,2.80872027639,concrete,radialflow,8,0.5,19.2117271423,best_val_loss
317,0.0,inf,concrete,radialflow,20,0.5,inf,best_val_loss
318,124.0,19650.5002704,concrete,radialflow,1,1.0,41.0623207092,best_val_loss
319,33.0,125.029615311,concrete,radialflow,2,1.0,63.1159858704,best_val_loss
