,best_epoch_mean,best_epoch_std,best_test_loss_mean,best_test_loss_std,datasetname,model,n_normflows,percent,test_error_rate_mean,test_error_rate_std,test_measures
93,78.0,118.132975921,122.800308786,340.375541488,boston,planarflow,4,0.25,38.0688120842,63.8026443909,best_val_loss
94,89.4,122.957878967,1989.92650424,5932.33065842,boston,planarflow,8,0.25,inf,,best_val_loss
95,0.0,0.0,,,boston,planarflow,20,0.25,inf,,best_val_loss
96,109.0,193.020724276,3.71378620372,0.264343746321,boston,planarflow,1,0.5,inf,,best_val_loss
97,80.4,119.068215742,144.808155768,176.189874709,boston,planarflow,2,0.5,inf,,best_val_loss
98,60.3,102.070612813,5835.76452392,14031.705975,boston,planarflow,3,0.5,inf,,best_val_loss
99,92.1,170.424440735,138.232980207,400.227983371,boston,planarflow,4,0.5,inf,,best_val_loss
100,128.8,199.855347689,29264.9505743,85801.2373652,boston,planarflow,8,0.5,27.9059309959,39.9832238807,best_val_loss
101,0.0,0.0,,,boston,planarflow,20,0.5,inf,,best_val_loss
102,89.1,114.535976881,5.7020102931,0.399118204207,boston,planarflow,1,1.0,6.96440534592,2.33472652417,best_val_loss
103,86.5,130.864242633,3.84272981531,0.383931939065,boston,planarflow,2,1.0,inf,,best_val_loss
104,72.5,116.35398575,44.3922146267,57.8048722321,boston,planarflow,3,1.0,inf,,best_val_loss
105,91.3,115.710025495,770.447726391,1127.07837702,boston,planarflow,4,1.0,inf,,best_val_loss
106,112.7,166.284725697,5.5012467029,3.006288557,boston,planarflow,8,1.0,inf,,best_val_loss
107,0.0,0.0,,,boston,planarflow,20,1.0,inf,,best_val_loss
108,111.2,218.755479931,0.435243635084,1.88506047771,boston,baselinedet,1,0.25,inf,,best_val_loss
109,58.0,91.8672955953,0.711430702957,0.716883451145,boston,baselinedet,2,0.25,5.05055978298,5.31668935349,best_val_loss
110,58.8,130.045991864,0.702649289019,0.779738811551,boston,baselinedet,3,0.25,inf,,best_val_loss
111,24.3,35.8693462444,0.251603825887,0.728847574664,boston,baselinedet,4,0.25,inf,,best_val_loss
112,37.5,56.0147302055,0.911909065995,0.659934332095,boston,baselinedet,8,0.25,6.41287705898,5.96907741391,best_val_loss
113,52.3,114.080717038,0.118923263456,0.502434866953,boston,baselinedet,20,0.25,inf,,best_val_loss
114,118.3,238.561124243,0.32662821751,0.663222167926,boston,baselinedet,1,0.5,inf,,best_val_loss
115,49.9,84.2181096914,-0.0698586220835,0.338577756796,boston,baselinedet,2,0.5,inf,,best_val_loss
116,95.0,76.1931755474,0.848225518769,0.605360058942,boston,baselinedet,3,0.5,6.19372794628,4.41898931938,best_val_loss
117,32.9,59.9073451256,0.163463163493,0.500361605336,boston,baselinedet,4,0.5,inf,,best_val_loss
118,48.0,93.0924271893,0.0760902068194,0.531093349487,boston,baselinedet,8,0.5,inf,,best_val_loss
119,36.2,73.2622685971,0.0364936330739,0.279254150377,boston,baselinedet,20,0.5,inf,,best_val_loss
120,66.9,118.488353858,0.407124865055,0.683912135668,boston,baselinedet,1,1.0,inf,,best_val_loss
121,49.3,92.1586132708,0.147657351868,0.26920027135,boston,baselinedet,2,1.0,inf,,best_val_loss
122,40.6,79.1886355483,-0.0706972573318,0.260614384132,boston,baselinedet,3,1.0,inf,,best_val_loss
123,31.6,56.1839834828,0.0247938004195,0.234304613124,boston,baselinedet,4,1.0,inf,,best_val_loss
124,72.2,72.939426924,0.908752923853,0.323790468804,boston,baselinedet,8,1.0,5.5417347908,2.43468728285,best_val_loss
125,34.2,60.1311899101,-0.104356665822,0.242427612832,boston,baselinedet,20,1.0,inf,,best_val_loss
126,67.5,158.218361766,,,boston,radialflow,1,0.25,inf,,best_val_loss
127,72.2,136.750722119,2.66333438996,0.43404347742,boston,radialflow,2,0.25,inf,,best_val_loss
128,77.8,174.780319258,,,boston,radialflow,3,0.25,inf,,best_val_loss
129,101.2,215.328957644,4.22251562158,0.368133146214,boston,radialflow,4,0.25,inf,,best_val_loss
130,68.4,121.261040734,2.8465193502,0.301192053025,boston,radialflow,8,0.25,4.50243611336,1.137721012,best_val_loss
131,0.0,0.0,inf,,boston,radialflow,20,0.25,inf,,best_val_loss
132,61.1,107.993935015,3.32742127813,0.335180417131,boston,radialflow,1,0.5,inf,,best_val_loss
133,39.3,81.7802543405,,,boston,radialflow,2,0.5,inf,,best_val_loss
134,37.4,78.3316028178,,,boston,radialflow,3,0.5,inf,,best_val_loss
135,130.4,224.962307954,3.70589896754,0.374578793812,boston,radialflow,4,0.5,inf,,best_val_loss
136,60.7,96.6095750948,4.07329651052,0.758266300724,concrete,mixture,1,0.25,7.58873534203,2.00056356718,best_val_loss
137,68.5,106.169910992,18.4044679957,3.24041199547,concrete,mixture,2,0.25,inf,,best_val_loss
138,66.9,86.9499281196,4.57269124275,0.421617254679,concrete,mixture,3,0.25,inf,,best_val_loss
139,40.5,48.5164920414,49.2170913178,84.8047781543,concrete,mixture,4,0.25,12.5945994854,14.6220498935,best_val_loss
140,60.5,69.1624898337,28.8245607246,71.9723644722,concrete,mixture,8,0.25,inf,,best_val_loss
141,66.5,88.3314779679,8.27954009467,8.19997854252,concrete,mixture,20,0.25,30.595079422,37.9238822748,best_val_loss
142,43.6,69.9802829374,4.37649414779,0.479762665431,concrete,mixture,1,0.5,inf,,best_val_loss
143,45.6,76.5286874316,3.4337860342,0.140301800473,concrete,mixture,2,0.5,inf,,best_val_loss
144,78.7,131.629062141,2.30935861285,0.167388455327,concrete,mixture,3,0.5,inf,,best_val_loss
145,81.6,99.6546035063,285.170570993,518.015044513,concrete,mixture,4,0.5,inf,,best_val_loss
146,85.4,124.532084219,17.1528110677,0.858508517364,concrete,mixture,8,0.5,8.05606026649,1.29074649693,best_val_loss
147,92.2,92.371857186,6.60666477672,5.56706391332,concrete,mixture,20,0.5,inf,,best_val_loss
148,58.1,78.5881034254,14.9884146187,2.21254108526,concrete,mixture,1,1.0,17.5461139679,0.712547632654,best_val_loss
149,63.6,89.5624921493,3.76746721978,0.250472696889,concrete,mixture,2,1.0,inf,,best_val_loss
