,batch_size,best_epoch,best_test_loss,datasetname,minus_log_s1,model,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate,percent,test_error_rate,test_measures
80,100.0,690.0,2.31107996024,boston,4.0,radialflowdet,3,0.954872181076,adam,0.000524172108033,0.000202032192523,0.01,0.5,5.51117706299,best_val_loss
81,10.0,321.0,1.34864515417,boston,1.0,radialflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,3.29759192467,best_val_loss
82,100.0,415.0,4.56909553677,boston,4.0,radialflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,3.5104393959,best_val_loss
83,100.0,0.0,inf,boston,2.0,radialflowdet,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,inf,best_val_loss
84,10.0,204.0,2.28936898475,boston,2.0,radialflowdet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.0069565773,best_val_loss
85,100.0,267.0,1.23013393552,boston,2.0,radialflowdet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,2.83200979233,best_val_loss
86,100.0,228.0,6.2149626788,boston,4.0,radialflowdet,3,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,3.14289140701,best_val_loss
87,10.0,104.0,36.4420471565,boston,5.0,radialflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.23058366776,best_val_loss
88,100.0,288.0,1.15329383401,boston,1.0,radialflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,3.3363711834,best_val_loss
89,100.0,0.0,inf,boston,3.0,radialflowdet,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,inf,best_val_loss
90,10.0,1419.0,2.82580745921,boston,2.0,baselineplus,1,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,13.7516555786,best_val_loss
