,datasetname,model,n_normflows,test_measures,value0,value1,value2
143,concrete,baselineplus,20,best_val_loss,6.00651197536,6.85333238827,30.4536750711
144,concrete,planarflow,1,best_val_loss,2.57819935788,2.62430273897,2.64240378923
145,concrete,planarflow,2,best_val_loss,1.90490650464,2.29013198251,2.48333494125
146,concrete,planarflow,3,best_val_loss,2.41770264,2.54755570607,2.71748719574
147,concrete,planarflow,4,best_val_loss,3.40342892883,3.4248509014,inf
148,concrete,planarflow,8,best_val_loss,3.2392384847,3.7565603769,3.96174605175
149,concrete,planarflow,20,best_val_loss,inf,inf,inf
150,concrete,baselinedet,1,best_val_loss,0.06632115764,0.0717455904971,0.0782346674191
151,concrete,baselinedet,2,best_val_loss,0.0439126568456,0.0901180390389,0.0924393643615
152,concrete,baselinedet,3,best_val_loss,0.000717840848431,0.0427777126271,0.060096053667
153,concrete,baselinedet,4,best_val_loss,0.186704512565,0.226664635443,0.292606251214
154,concrete,baselinedet,8,best_val_loss,-0.0186656764759,0.0183071051874,0.0627826926529
155,concrete,baselinedet,20,best_val_loss,0.0734045838797,0.116906637787,0.156459039257
156,concrete,radialflow,1,best_val_loss,12.1695703364,13.0305325355,13.259788991
157,concrete,radialflow,2,best_val_loss,10.1592799576,15.237289557,18.5703338726
158,concrete,radialflow,3,best_val_loss,38.7370904292,40.8551981146,88.5045304636
159,concrete,radialflow,4,best_val_loss,285.035875612,303.485632793,inf
160,concrete,radialflow,8,best_val_loss,3.18203041699,3.18886735877,4.09687503307
161,concrete,radialflow,20,best_val_loss,inf,inf,inf
162,concrete,mixture,1,val_error_rate,7.88011026382,11.1212511063,11.7103662491
163,concrete,mixture,2,val_error_rate,10.0407381058,10.3324556351,10.8631439209
164,concrete,mixture,3,val_error_rate,7.35348701477,7.55009508133,7.96798610687
165,concrete,mixture,4,val_error_rate,15.607673645,16.5537700653,inf
166,concrete,mixture,8,val_error_rate,13.0653953552,16.1206741333,18.1036548615
167,concrete,mixture,20,val_error_rate,8.86637592316,9.24278354645,9.55967521667
168,concrete,baseline,1,val_error_rate,7.27663946152,7.29133081436,7.6228055954
169,concrete,baseline,2,val_error_rate,7.19973421097,7.46021270752,8.62586402893
170,concrete,baseline,3,val_error_rate,7.12421798706,7.14475822449,7.59449148178
171,concrete,baseline,4,val_error_rate,16.8864212036,17.9177494049,inf
172,concrete,baseline,8,val_error_rate,6.86926031113,10.408946991,11.9527845383
173,concrete,baseline,20,val_error_rate,6.85557985306,6.85793542862,12.1963567734
174,concrete,planarflowdet,1,val_error_rate,5.27206516266,5.54213285446,6.13231134415
175,concrete,planarflowdet,2,val_error_rate,6.1698012352,6.52554225922,6.64081048965
176,concrete,planarflowdet,3,val_error_rate,4.72599411011,5.83028078079,7.29058837891
177,concrete,planarflowdet,4,val_error_rate,8.72340869904,18.0934238434,inf
178,concrete,planarflowdet,8,val_error_rate,11.1331758499,17.9588356018,19.2868614197
179,concrete,planarflowdet,20,val_error_rate,17.0767650604,17.2865695953,17.2959270477
180,concrete,baselinedetplus,1,val_error_rate,3.82793784142,4.32263660431,4.51795959473
181,concrete,baselinedetplus,2,val_error_rate,4.07049894333,4.53502893448,4.55567646027
182,concrete,baselinedetplus,3,val_error_rate,4.83698272705,4.97099685669,5.14286279678
183,concrete,baselinedetplus,4,val_error_rate,7.02625608444,8.52129936218,inf
184,concrete,baselinedetplus,8,val_error_rate,6.62956190109,6.8810300827,8.44159126282
185,concrete,baselinedetplus,20,val_error_rate,12.6411600113,16.0050239563,17.3494415283
186,concrete,radialflowdet,1,val_error_rate,4.29987239838,4.31778717041,4.431163311
187,concrete,radialflowdet,2,val_error_rate,4.37346220016,4.40948629379,4.41612005234
188,concrete,radialflowdet,3,val_error_rate,4.09136390686,4.32997274399,4.41323661804
189,concrete,radialflowdet,4,val_error_rate,4.61131048203,inf,inf
190,concrete,radialflowdet,8,val_error_rate,4.531062603,4.57608222961,4.85629463196
191,concrete,radialflowdet,20,val_error_rate,inf,inf,inf
192,concrete,baselineplus,1,val_error_rate,7.0901594162,14.3921413422,15.6587352753
193,concrete,baselineplus,2,val_error_rate,9.33475875854,9.43776130676,10.2605619431
194,concrete,baselineplus,3,val_error_rate,9.29013633728,9.79453849792,10.214307785
195,concrete,baselineplus,4,val_error_rate,16.099319458,16.4405345917,inf
196,concrete,baselineplus,8,val_error_rate,16.9665546417,17.1248397827,17.18176651
197,concrete,baselineplus,20,val_error_rate,11.8388748169,11.8703737259,12.0090847015
198,concrete,planarflow,1,val_error_rate,7.02176952362,7.29287004471,7.30048894882
199,concrete,planarflow,2,val_error_rate,6.93158483505,7.42306470871,7.86357402802
200,concrete,planarflow,3,val_error_rate,6.68681669235,7.22495174408,7.26622343063
201,concrete,planarflow,4,val_error_rate,15.1283740997,15.4595251083,inf
202,concrete,planarflow,8,val_error_rate,8.87349510193,9.92530918121,10.7614440918
203,concrete,planarflow,20,val_error_rate,inf,inf,inf
204,concrete,baselinedet,1,val_error_rate,4.19321393967,4.3085603714,4.49786138535
205,concrete,baselinedet,2,val_error_rate,4.42222452164,4.50289344788,4.58711147308
206,concrete,baselinedet,3,val_error_rate,4.07477474213,4.2156085968,4.23207569122
207,concrete,baselinedet,4,val_error_rate,5.11534976959,5.56688642502,inf
208,concrete,baselinedet,8,val_error_rate,4.05184602737,4.2527256012,4.3566532135
209,concrete,baselinedet,20,val_error_rate,4.15916490555,4.51560306549,4.54417228699
210,concrete,radialflow,1,val_error_rate,19.6764431,21.5466766357,26.5890960693
211,concrete,radialflow,2,val_error_rate,18.9317054749,20.7704906464,21.9372596741
212,concrete,radialflow,3,val_error_rate,21.958442688,30.9051837921,31.1243896484
213,concrete,radialflow,4,val_error_rate,22.3643760681,29.661491394,inf
214,concrete,radialflow,8,val_error_rate,8.95202350616,9.12209415436,14.2570829391
215,concrete,radialflow,20,val_error_rate,inf,inf,inf
216,energy,mixture,1,best_val_loss,2.06415432124,2.33179328555,2.42353639149
217,energy,mixture,2,best_val_loss,2.25341471717,2.2775848752,2.36943810054
218,energy,mixture,3,best_val_loss,3.56621800099,3.9483891855,4.30458756038
219,energy,mixture,4,best_val_loss,2.70995962052,2.96682971319,3.2431850615
220,energy,mixture,8,best_val_loss,2.85655357724,2.99770885468,3.0426064573
221,energy,mixture,20,best_val_loss,10.3654205758,102.93327192,139.52650626
222,energy,baseline,1,best_val_loss,1.77309741066,2.32835391817,2.47049097788
223,energy,baseline,2,best_val_loss,2.03289291382,2.06227348328,2.07718490601
224,energy,baseline,3,best_val_loss,1.75084439959,2.17666625977,2.1945375279
225,energy,baseline,4,best_val_loss,3.14806590761,3.21250560851,3.29876148769
226,energy,baseline,8,best_val_loss,1.70836219788,1.9707245745,2.02248255048
227,energy,baseline,20,best_val_loss,1.6851928166,1.77762083871,4.09925803048
228,energy,planarflowdet,1,best_val_loss,0.955404454186,0.9919508162,1.06835124152
229,energy,planarflowdet,2,best_val_loss,0.624296210153,0.654739014762,0.69889152033
230,energy,planarflowdet,3,best_val_loss,0.650120249816,1.10916787284,1.18630677496
231,energy,planarflowdet,4,best_val_loss,0.957021631513,1.03645301092,1.05549024627
232,energy,planarflowdet,8,best_val_loss,0.769702441692,0.814967474256,0.909044401986
233,energy,planarflowdet,20,best_val_loss,2242.1714502,2264.16723005,3929.24384487
234,energy,baselinedetplus,1,best_val_loss,-1.69903335571,-1.53316247123,-1.51201139178
235,energy,baselinedetplus,2,best_val_loss,-1.23644757952,-1.12440992083,-1.12381559099
236,energy,baselinedetplus,3,best_val_loss,-1.14568034581,-1.08379690988,-1.02732445853
