,batch_size,best_epoch,best_test_loss,best_val_loss,datasetname,minus_log_s1,model,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate,percent,test_error_rate,test_measures,val_error_rate
133,10.0,249.0,0.730846255433,0.713023973548,boston,5.0,baselinedet,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,4.87576627731,best_val_loss,5.16394042969
134,100.0,147.0,1.99123472326,1.61279860787,boston,4.0,baselinedet,3,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.5,14.8944950104,best_val_loss,11.7538633347
135,10.0,96.0,1.578956604,1.16645091513,boston,1.0,baselinedet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,10.2021083832,best_val_loss,7.60099554062
136,10.0,302.0,0.763446882659,0.580614919248,boston,5.0,baselinedet,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,4.46878194809,best_val_loss,4.19065952301
137,10.0,238.0,0.62991400326,0.352116916491,boston,6.0,baselinedet,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,4.05984354019,best_val_loss,3.34883403778
138,10.0,402.0,0.429225061454,0.238239205402,boston,2.0,baselinedet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.30047655106,best_val_loss,3.0076084137
139,10.0,278.0,0.523443970026,0.310246591983,boston,1.0,baselinedet,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.44690513611,best_val_loss,3.30905413628
140,10.0,212.0,0.475862989239,0.25513468618,boston,4.0,baselinedet,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.36770486832,best_val_loss,2.69097828865
141,10.0,151.0,0.262828901702,0.358940456225,boston,5.0,baselinedet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,2.69449973106,best_val_loss,3.27189278603
142,100.0,248.0,1.29908378451,1.12544557323,boston,3.0,baselinedet,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,8.72104358673,best_val_loss,6.82650232315
