,best_val_error,best_val_loss,datasetname,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_step_rate
106,6.62956190109,0.491037553357,concrete,baselinedetplus,8,0.803889937534,adam,0.800655605607,0.1
107,inf,0.911936277984,concrete,baselinedetplus,20,0.855134467683,adam,0.814380764219,0.001
108,2.01491928101,0.955404454186,energy,planarflowdet,1,0.904882497394,rmsprop,0.00664346881683,0.01
109,0.96217828989,0.624296210153,energy,planarflowdet,2,0.988043649847,adam,0.0032993825343,0.001
110,3.0119202137,0.650120249816,energy,planarflowdet,3,0.801062959819,adam,0.00621770522485,0.001
111,2.96597599983,0.957021631513,energy,planarflowdet,4,0.937634133118,adam,0.00227692082866,0.001
112,5.01819705963,0.769702441692,energy,planarflowdet,8,0.890499733009,adadelta,0.940488548236,0.1
113,45.8860054016,17.4222424825,energy,planarflowdet,20,0.892577483924,adam,0.00713582002473,0.001
114,0.621614217758,-0.949951244536,energy,radialflowdet,1,0.904882497394,rmsprop,0.00664346881683,0.01
115,0.487097084522,-1.57457700457,energy,radialflowdet,2,0.974542020391,adam,0.89080604545,0.001
116,0.429805189371,-1.63544751122,energy,radialflowdet,3,0.892577483924,adam,0.00713582002473,0.001
117,0.598878264427,-1.01245180402,energy,radialflowdet,4,0.963117866824,adam,0.868062801426,0.001
118,0.592890739441,-1.30843654088,energy,radialflowdet,8,0.9571221857,adam,0.000989787180952,0.001
119,inf,168964.240402,energy,radialflowdet,20,0.892577483924,adam,0.00713582002473,0.001
120,12.9097995758,2.06415432124,energy,mixture,1,0.976976182591,adam,0.881366446805,0.001
121,3.58807492256,1.83513195401,energy,mixture,2,0.892577483924,adam,0.00713582002473,0.001
122,3.63969612122,2.45518724351,energy,mixture,3,0.892577483924,adam,0.00713582002473,0.001
123,3.24123334885,2.70995962052,energy,mixture,4,0.937634133118,adam,0.00227692082866,0.001
124,3.97629094124,2.85655357724,energy,mixture,8,0.953535830124,rmsprop,0.00662559384668,0.01
125,3.40578460693,5.5211034139,energy,mixture,20,0.892577483924,adam,0.00713582002473,0.001
126,47.8904571533,49.4091115195,energy,radialflow,1,0.904882497394,rmsprop,0.00664346881683,0.01
127,16.1900062561,14.7237468466,energy,radialflow,2,0.974542020391,adam,0.89080604545,0.001
128,16.5748500824,5.89357052806,energy,radialflow,3,0.957318230759,rmsprop,0.955480723872,0.0001
129,14.1834354401,5.8983028762,energy,radialflow,4,0.937634133118,adam,0.00227692082866,0.001
130,3.90074372292,1.87348207516,energy,radialflow,8,0.892577483924,adam,0.00713582002473,0.001
131,inf,inf,energy,radialflow,20,0.892577483924,adam,0.00713582002473,0.001
132,12.5818443298,1.77309741066,energy,baseline,1,0.976976182591,adam,0.881366446805,0.001
133,9.69475460052,2.03289291382,energy,baseline,2,0.988043649847,adam,0.0032993825343,0.001
134,9.33542251587,1.75084439959,energy,baseline,3,0.863813152227,adam,0.00259801689953,0.01
135,12.6202917099,2.49899175735,energy,baseline,4,0.934125143078,adam,0.0076485879586,0.1
136,9.82866096497,1.70836219788,energy,baseline,8,0.936229536545,adam,0.901751392341,0.001
137,4.01374912262,1.63059436253,energy,baseline,20,0.892577483924,adam,0.00713582002473,0.001
